state,city,locality,area_sqft,bedrooms,bathrooms,parking,property_age_years,property_type,furnishing,floor_no,total_floors,price_inr
Tamil Nadu,Chennai,Velachery,897,4,3,1,1,Apartment,Furnished,3,8,8607000.0
Lakshadweep,Kavaratti,Kavaratti Town,934,3,3,1,2,Apartment,Unfurnished,21,29,3776000.0
Punjab,Chandigarh,Sector 22,1649,2,3,3,2,Apartment,Semi-Furnished,11,23,16336000.0
Maharashtra,Mumbai,Bandra,1823,3,2,0,25,Builder Floor,Furnished,8,26,44889000.0
Kerala,Kochi,Edappally,788,3,4,1,0,Builder Floor,Unfurnished,7,8,4958000.0
Andhra Pradesh,Visakhapatnam,Madhurawada,442,3,2,3,12,Builder Floor,Furnished,13,16,2084000.0
Bihar,Patna,Kankarbagh,1136,2,2,1,8,Builder Floor,Semi-Furnished,12,13,4933000.0
Bihar,Patna,Kankarbagh,350,2,2,2,12,Independent House,Semi-Furnished,4,10,1399000.0
Jharkhand,Ranchi,Harmu,707,2,2,1,12,Independent House,Furnished,0,3,3467000.0
Tamil Nadu,Chennai,T Nagar,686,2,2,1,5,Apartment,Unfurnished,6,17,9616000.0
Kerala,Kochi,Kakkanad,2186,2,2,1,12,Apartment,Unfurnished,18,22,12219000.0
Gujarat,Ahmedabad,Vastrapur,1703,4,5,1,18,Apartment,Unfurnished,24,25,13835000.0
West Bengal,Kolkata,New Town,984,4,3,1,1,Apartment,Semi-Furnished,0,19,6154000.0
Lakshadweep,Kavaratti,Kavaratti Town,1111,3,2,1,0,Apartment,Unfurnished,6,7,4439000.0
Delhi,New Delhi,Vasant Vihar,610,1,1,3,5,Apartment,Unfurnished,0,19,15445000.0
West Bengal,Kolkata,Salt Lake,1180,5,6,1,1,Apartment,Unfurnished,5,24,10602000.0
Maharashtra,Pune,Koregaon Park,1972,3,4,2,1,Apartment,Semi-Furnished,2,20,34030000.0
Puducherry,Puducherry City,Reddiarpalayam,1688,2,2,1,8,Apartment,Furnished,0,11,8808000.0
Dadra and Nagar Haveli and Daman and Diu,Daman,Moti Daman,2229,2,3,2,8,Apartment,Unfurnished,15,16,10187000.0
Haryana,Faridabad,Greenfield Colony,1119,2,2,2,18,Builder Floor,Semi-Furnished,23,24,5195000.0
Maharashtra,Nagpur,Dharampeth,1669,2,1,2,0,Apartment,Semi-Furnished,21,22,12983000.0
Maharashtra,Mumbai,Dadar,786,3,4,2,12,Apartment,Semi-Furnished,18,22,18782000.0
Uttar Pradesh,Noida,Sector 137,1496,5,5,2,8,Villa,Semi-Furnished,14,15,12598000.0
Madhya Pradesh,Bhopal,Arera Colony,2731,4,5,1,25,Builder Floor,Furnished,2,28,11997000.0
Haryana,Faridabad,Greenfield Colony,1131,5,5,3,0,Apartment,Unfurnished,0,3,6510000.0
West Bengal,Kolkata,Ballygunge,462,4,4,1,1,Independent House,Furnished,1,27,7445000.0
West Bengal,Kolkata,Howrah,1685,2,2,1,2,Villa,Furnished,24,25,12490000.0
Assam,Guwahati,Khanapara,549,1,1,2,18,Apartment,Unfurnished,1,23,1943000.0
Odisha,Bhubaneswar,Saheed Nagar,697,5,5,1,0,Apartment,Furnished,21,22,5063000.0
Tamil Nadu,Chennai,T Nagar,2058,2,1,1,18,Apartment,Unfurnished,2,23,22064000.0
Kerala,Kochi,Kakkanad,480,3,3,0,25,Villa,Semi-Furnished,20,21,2485000.0
Madhya Pradesh,Indore,Vijay Nagar,1136,2,2,2,8,Apartment,Furnished,6,7,7571000.0
Goa,Panaji,Caranzalem,549,2,1,0,0,Apartment,Furnished,19,20,6234000.0
Chandigarh,Chandigarh City,Sector 44,1189,3,2,1,8,Apartment,Furnished,3,4,9051000.0
Jammu and Kashmir,Jammu,Gandhi Nagar,1232,4,3,2,8,Builder Floor,Furnished,19,24,8999000.0
Ladakh,Leh,Leh Market,2072,3,3,2,8,Villa,Semi-Furnished,10,12,12417000.0
Gujarat,Surat,Adajan,932,2,2,2,5,Apartment,Semi-Furnished,20,21,5669000.0
Maharashtra,Nagpur,Dharampeth,1399,4,3,1,5,Independent House,Semi-Furnished,2,16,9215000.0
Haryana,Faridabad,Sector 15,1902,2,2,1,2,Independent House,Semi-Furnished,2,9,11680000.0
Gujarat,Surat,Vesu,1206,4,4,1,1,Apartment,Furnished,18,19,10584000.0
Arunachal Pradesh,Itanagar,Chandranagar,1378,5,5,1,1,Apartment,Semi-Furnished,19,27,4610000.0
Kerala,Kochi,Edappally,1543,1,1,3,25,Apartment,Semi-Furnished,10,11,8494000.0
Puducherry,Puducherry City,Lawspet,1249,4,4,2,0,Villa,Semi-Furnished,4,29,10920000.0
Nagaland,Kohima,Midland,1783,4,3,3,25,Villa,Unfurnished,18,29,6337000.0
Telangana,Hyderabad,Gachibowli,350,4,4,1,2,Apartment,Semi-Furnished,19,28,3727000.0
Madhya Pradesh,Bhopal,Arera Colony,1505,3,4,3,5,Apartment,Furnished,5,21,10120000.0
Delhi,New Delhi,Saket,350,1,1,3,0,Independent House,Furnished,17,18,9159000.0
Karnataka,Mysuru,Vijayanagar,962,3,3,1,12,Builder Floor,Furnished,15,16,5355000.0
Tamil Nadu,Chennai,OMR,2404,2,3,2,5,Apartment,Unfurnished,4,9,15342000.0
Puducherry,Puducherry City,White Town,845,3,4,1,18,Villa,Furnished,4,15,8806000.0
Assam,Guwahati,Zoo Road,1848,5,4,1,12,Apartment,Furnished,16,17,9977000.0
Sikkim,Gangtok,MG Marg,1388,3,3,1,12,Builder Floor,Furnished,16,21,13731000.0
Manipur,Imphal,Lamphelpat,838,2,3,1,8,Independent House,Unfurnished,7,8,2381000.0
Uttar Pradesh,Noida,Sector 62,915,4,5,1,18,Apartment,Unfurnished,14,23,6302000.0
Odisha,Bhubaneswar,Patia,1832,4,5,0,5,Independent House,Unfurnished,18,19,11204000.0
Kerala,Kochi,Kakkanad,350,4,4,2,18,Builder Floor,Unfurnished,23,24,1950000.0
Maharashtra,Nagpur,Civil Lines,1270,2,2,2,2,Apartment,Unfurnished,22,23,8458000.0
Rajasthan,Jaipur,C Scheme,2086,2,3,1,18,Apartment,Semi-Furnished,17,29,13340000.0
Uttar Pradesh,Kanpur,Swaroop Nagar,1538,2,2,1,1,Apartment,Semi-Furnished,13,14,7577000.0
Manipur,Imphal,Lamphelpat,529,1,1,2,1,Builder Floor,Furnished,16,26,1702000.0
Haryana,Faridabad,Sector 15,1537,2,2,1,18,Apartment,Semi-Furnished,13,24,8390000.0
West Bengal,Kolkata,Howrah,1668,4,4,2,0,Builder Floor,Unfurnished,18,19,7809000.0
Uttar Pradesh,Noida,Sector 137,1097,2,2,0,8,Apartment,Unfurnished,24,25,7121000.0
Jammu and Kashmir,Jammu,Gandhi Nagar,1195,1,1,2,8,Independent House,Semi-Furnished,9,10,8322000.0
Tamil Nadu,Chennai,T Nagar,1967,3,4,1,5,Builder Floor,Unfurnished,20,21,23787000.0
Maharashtra,Pune,Hinjewadi,842,2,2,2,0,Villa,Unfurnished,7,8,8675000.0
Haryana,Faridabad,Sector 15,1638,1,1,1,1,Independent House,Furnished,14,15,12076000.0
Jammu and Kashmir,Srinagar,Rajbagh,1883,2,2,1,5,Apartment,Unfurnished,14,15,12247000.0
Punjab,Chandigarh,Sector 35,1082,3,3,1,8,Apartment,Unfurnished,9,10,8839000.0
Dadra and Nagar Haveli and Daman and Diu,Daman,Moti Daman,429,3,4,1,8,Villa,Semi-Furnished,23,24,2729000.0
Rajasthan,Jaipur,Vaishali Nagar,892,4,4,3,2,Apartment,Semi-Furnished,21,28,5956000.0
Maharashtra,Mumbai,Bandra,1518,3,4,1,1,Villa,Semi-Furnished,3,25,74818000.0
Jharkhand,Ranchi,Lalpur,1860,2,2,2,8,Apartment,Unfurnished,0,25,8712000.0
Puducherry,Puducherry City,White Town,1068,3,4,1,8,Apartment,Unfurnished,18,19,10728000.0
Jharkhand,Ranchi,Lalpur,1386,3,4,2,8,Builder Floor,Semi-Furnished,4,27,6913000.0
Haryana,Gurugram,Sohna Road,1239,4,4,2,1,Apartment,Unfurnished,12,24,8261000.0
Bihar,Patna,Kankarbagh,955,2,3,2,0,Independent House,Semi-Furnished,10,27,5384000.0
Maharashtra,Pune,Koregaon Park,552,2,2,3,1,Independent House,Semi-Furnished,24,25,8901000.0
Telangana,Hyderabad,Kondapur,1553,1,2,2,18,Independent House,Unfurnished,8,22,12165000.0
Karnataka,Mysuru,Kuvempunagar,1301,4,4,0,2,Apartment,Unfurnished,22,25,6784000.0
Andhra Pradesh,Visakhapatnam,MVP Colony,1230,3,2,1,12,Apartment,Semi-Furnished,8,9,7725000.0
Madhya Pradesh,Bhopal,Kolar Road,1778,4,4,1,12,Apartment,Unfurnished,11,27,6323000.0
Lakshadweep,Kavaratti,Kavaratti Town,543,1,1,1,8,Independent House,Unfurnished,20,21,2154000.0
Mizoram,Aizawl,Dawrpui,760,5,4,1,2,Apartment,Unfurnished,23,24,2778000.0
Madhya Pradesh,Bhopal,MP Nagar,884,1,1,2,8,Apartment,Semi-Furnished,17,18,5483000.0
Tripura,Agartala,Akhaura Road,1885,2,1,1,0,Villa,Unfurnished,18,19,7609000.0
Uttarakhand,Dehradun,Race Course,1872,2,2,2,0,Apartment,Semi-Furnished,2,19,11572000.0
Rajasthan,Udaipur,Hiran Magri,2144,4,5,2,18,Villa,Unfurnished,4,22,12037000.0
Chandigarh,Chandigarh City,Sector 9,1526,1,1,2,18,Apartment,Furnished,17,18,16554000.0
West Bengal,Kolkata,New Town,912,2,2,1,0,Villa,Unfurnished,8,9,9506000.0
Kerala,Kochi,Edappally,1316,4,5,0,8,Builder Floor,Semi-Furnished,16,18,8530000.0
Uttar Pradesh,Lucknow,Gomti Nagar,2135,3,2,1,1,Villa,Furnished,12,13,21957000.0
